projectID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,subsampleClass,subsampleDateTime,runID,runDate,replicate,metadataID,prefix,suffix,runName,comments
15,NA,NA,5/20/2019,5/20/2019 0:00,NA,NA,NA,air,5/20/2019 0:00,run19052001,5/20/2019,1,gc180508,1,19052001,1_19052001,
15,NA,NA,5/20/2019,5/20/2019 0:00,NA,NA,NA,standard034,5/20/2019 0:00,run19052001,5/20/2019,1,gc180508,2,19052001,2_19052001,
15,NA,NA,5/20/2019,5/20/2019 0:00,NA,NA,NA,standard035,5/20/2019 0:00,run19052001,5/20/2019,1,gc180508,3,19052001,3_19052001,
15,NA,NA,5/20/2019,5/20/2019 0:00,NA,NA,NA,standard036,5/20/2019 0:00,run19052001,5/20/2019,1,gc180508,4,19052001,4_19052001,
15,NA,NA,5/20/2019,5/20/2019 0:00,NA,NA,NA,standard037,5/20/2019 0:00,run19052001,5/20/2019,1,gc180508,5,19052001,5_19052001,
15,NA,NA,5/20/2019,5/20/2019 0:00,NA,NA,NA,standard038,5/20/2019 0:00,run19052001,5/20/2019,1,gc180508,6,19052001,6_19052001,
15,NA,NA,5/20/2019,5/20/2019 0:00,NA,NA,NA,air,5/20/2019 0:00,run19052001,5/20/2019,2,gc180508,7,19052001,7_19052001,
15,CR,DeepHole,5/20/2019,5/20/2019 0:00,atm,NA,NA,atm,,run19052001,5/20/2019,1,gc180508,8,19052001,8_19052001,
15,CR,DeepHole,5/20/2019,,atm,NA,NA,atm,,run19052001,5/20/2019,2,gc180508,9,19052001,9_19052001,
15,CR,DeepHole,5/20/2019,,point,0.25,0.25,pCO2,,run19052001,5/20/2019,1,gc180508,10,19052001,10_19052001,
15,CR,DeepHole,5/20/2019,,point,0.25,0.25,pCO2,,run19052001,5/20/2019,2,gc180508,11,19052001,11_19052001,
15,CR,DeepHole,5/20/2019,,point,0.25,0.25,DIC,,run19052001,5/20/2019,1,gc180508,12,19052001,12_19052001,
15,CR,DeepHole,5/20/2019,,point,0.25,0.25,DIC,,run19052001,5/20/2019,2,gc180508,13,19052001,13_19052001,
15,CR,DeepHole,5/20/2019,,point,8,8,DIC,,run19052001,5/20/2019,1,gc180508,14,19052001,14_19052001,
15,CR,DeepHole,5/20/2019,,point,8,8,DIC,,run19052001,5/20/2019,2,gc180508,15,19052001,15_19052001,
15,CR,Outlet,5/20/2019,,point,0,0,pCO2,,run19052001,5/20/2019,1,gc180508,16,19052001,16_19052001,
15,CR,Outlet,5/20/2019,,point,0,0,pCO2,,run19052001,5/20/2019,2,gc180508,17,19052001,17_19052001,
15,CR,Outlet,5/20/2019,,point,0,0,DIC,,run19052001,5/20/2019,1,gc180508,18,19052001,18_19052001,
15,CR,Outlet,5/20/2019,,point,0,0,DIC,,run19052001,5/20/2019,2,gc180508,19,19052001,19_19052001,
15,HB,DeepHole,5/20/2019,,atm,NA,NA,atm,,run19052001,5/20/2019,1,gc180508,20,19052001,20_19052001,
15,HB,DeepHole,5/20/2019,,atm,NA,NA,atm,,run19052001,5/20/2019,2,gc180508,21,19052001,21_19052001,
15,HB,DeepHole,5/20/2019,,point,0.25,0.25,pCO2,,run19052001,5/20/2019,1,gc180508,22,19052001,22_19052001,
15,HB,DeepHole,5/20/2019,,point,0.25,0.25,pCO2,,run19052001,5/20/2019,2,gc180508,23,19052001,23_19052001,
15,HB,DeepHole,5/20/2019,,point,0.25,0.25,DIC,,run19052001,5/20/2019,1,gc180508,24,19052001,24_19052001,
15,HB,DeepHole,5/20/2019,,point,0.25,0.25,DIC,,run19052001,5/20/2019,2,gc180508,25,19052001,25_19052001,
15,HB,DeepHole,5/20/2019,,point,8,8,DIC,,run19052001,5/20/2019,1,gc180508,26,19052001,26_19052001,
15,HB,DeepHole,5/20/2019,,point,8,8,DIC,,run19052001,5/20/2019,2,gc180508,27,19052001,27_19052001,
15,HB,Outlet,5/20/2019,,point,0,0,pCO2,,run19052001,5/20/2019,1,gc180508,28,19052001,28_19052001,
15,HB,Outlet,5/20/2019,,point,0,0,pCO2,,run19052001,5/20/2019,2,gc180508,29,19052001,29_19052001,
15,HB,Outlet,5/20/2019,,point,0,0,DIC,,run19052001,5/20/2019,1,gc180508,30,19052001,30_19052001,
