projectID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,subsampleClass,subsampleDateTime,runID,runDate,replicate,metadataID,prefix,suffix,runName,comments
15,NA,NA,5/24/19,5/24/19 0:00,NA,NA,NA,air,5/24/19 0:00,run19052401,5/24/19,1,gc180508,1,19052401,1_19052401,
15,NA,NA,5/24/19,5/24/19 0:00,NA,NA,NA,standard034,5/24/19 0:00,run19052401,5/24/19,1,gc180508,2,19052401,2_19052401,
15,NA,NA,5/24/19,5/24/19 0:00,NA,NA,NA,standard035,5/24/19 0:00,run19052401,5/24/19,1,gc180508,3,19052401,3_19052401,
15,NA,NA,5/24/19,5/24/19 0:00,NA,NA,NA,standard036,5/24/19 0:00,run19052401,5/24/19,1,gc180508,4,19052401,4_19052401,
15,NA,NA,5/24/19,5/24/19 0:00,NA,NA,NA,standard037,5/24/19 0:00,run19052401,5/24/19,1,gc180508,5,19052401,5_19052401,
15,NA,NA,5/24/19,5/24/19 0:00,NA,NA,NA,standard038,5/24/19 0:00,run19052401,5/24/19,1,gc180508,6,19052401,6_19052401,
15,NA,NA,5/24/19,5/24/19 0:00,NA,NA,NA,air,5/24/19 0:00,run19052401,5/24/19,2,gc180508,7,19052401,7_19052401,
15,ME,DeepHole,5/24/19,,atm,NA,NA,atm,,run19052401,5/24/19,1,gc180508,8,19052401,8_19052401,
15,ME,DeepHole,5/24/19,,atm,NA,NA,atm,,run19052401,5/24/19,2,gc180508,9,19052401,9_19052401,
15,ME,DeepHole,5/24/19,,point,0.25,0.25,pCO2,,run19052401,5/24/19,1,gc180508,10,19052401,10_19052401,
15,ME,DeepHole,5/24/19,,point,0.25,0.25,pCO2,,run19052401,5/24/19,2,gc180508,11,19052401,11_19052401,
15,ME,DeepHole,5/24/19,,point,0.25,0.25,pCO2,,run19052401,5/24/19,3,gc180508,12,19052401,12_19052401,
15,ME,DeepHole,5/24/19,,point,0.25,0.25,DIC,,run19052401,5/24/19,1,gc180508,13,19052401,13_19052401,
15,ME,DeepHole,5/24/19,,point,0.25,0.25,DIC,,run19052401,5/24/19,2,gc180508,14,19052401,14_19052401,
15,ME,DeepHole,5/24/19,,point,8,8,DIC,,run19052401,5/24/19,1,gc180508,15,19052401,15_19052401,
15,ME,DeepHole,5/24/19,,point,8,8,DIC,,run19052401,5/24/19,2,gc180508,16,19052401,16_19052401,
15,ME,Outlet,5/24/19,,point,0,0,pCO2,,run19052401,5/24/19,1,gc180508,17,19052401,17_19052401,
15,ME,Outlet,5/24/19,,point,0,0,pCO2,,run19052401,5/24/19,2,gc180508,18,19052401,18_19052401,
15,ME,Outlet,5/24/19,,point,0,0,DIC,,run19052401,5/24/19,1,gc180508,19,19052401,19_19052401,
15,ME,Outlet,5/24/19,,point,0,0,DIC,,run19052401,5/24/19,2,gc180508,20,19052401,20_19052401,
33,PE,DeepHole,5/23/19,5/23/19 14:00,lab,control,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,1,gc180508,21,19052401,21_19052401,
33,PE,DeepHole,5/23/19,5/23/19 14:00,lab,control,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,2,gc180508,22,19052401,22_19052401,
33,PE,DeepHole,5/23/19,5/23/19 14:00,lab,control,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,1,gc180508,23,19052401,23_19052401,
33,PE,DeepHole,5/23/19,5/23/19 14:00,lab,algal,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,2,gc180508,24,19052401,24_19052401,
33,PE,DeepHole,5/23/19,5/23/19 14:00,lab,algal,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,1,gc180508,25,19052401,25_19052401,
33,PE,DeepHole,5/23/19,5/23/19 14:00,lab,algal,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,2,gc180508,26,19052401,26_19052401,
33,PE,DeepHole,5/23/19,5/23/19 14:00,lab,BES,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,1,gc180508,27,19052401,27_19052401,
33,PE,DeepHole,5/23/19,5/23/19 14:00,lab,BES,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,2,gc180508,28,19052401,28_19052401,
33,PE,DeepHole,5/23/19,5/23/19 14:00,lab,BES,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,1,gc180508,29,19052401,29_19052401,
33,PE,DeepHole,5/23/19,5/23/19 14:00,lab,algalBES,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,2,gc180508,30,19052401,30_19052401,
33,PE,DeepHole,5/23/19,5/23/19 14:00,lab,algalBES,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,1,gc180508,31,19052401,31_19052401,
33,PE,DeepHole,5/23/19,5/23/19 14:00,lab,algalBES,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,1,gc180508,32,19052401,32_19052401,
33,PA,DeepHole,5/23/19,5/23/19 14:00,lab,control,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,1,gc180508,33,19052401,33_19052401,
33,PA,DeepHole,5/23/19,5/23/19 14:00,lab,control,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,2,gc180508,34,19052401,34_19052401,
33,PA,DeepHole,5/23/19,5/23/19 14:00,lab,control,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,1,gc180508,35,19052401,35_19052401,
33,PA,DeepHole,5/23/19,5/23/19 14:00,lab,algal,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,2,gc180508,36,19052401,36_19052401,
33,PA,DeepHole,5/23/19,5/23/19 14:00,lab,algal,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,1,gc180508,37,19052401,37_19052401,
33,PA,DeepHole,5/23/19,5/23/19 14:00,lab,algal,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,2,gc180508,38,19052401,38_19052401,
33,PA,DeepHole,5/23/19,5/23/19 14:00,lab,BES,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,1,gc180508,39,19052401,39_19052401,
33,PA,DeepHole,5/23/19,5/23/19 14:00,lab,BES,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,2,gc180508,40,19052401,40_19052401,
33,PA,DeepHole,5/23/19,5/23/19 14:00,lab,BES,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,1,gc180508,41,19052401,41_19052401,
33,PA,DeepHole,5/23/19,5/23/19 14:00,lab,algalBES,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,2,gc180508,42,19052401,42_19052401,
33,PA,DeepHole,5/23/19,5/23/19 14:00,lab,algalBES,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,1,gc180508,43,19052401,43_19052401,
33,PA,DeepHole,5/23/19,5/23/19 14:00,lab,algalBES,NA,methSlurry,5/24/19 14:00,run19052401,5/24/19,1,gc180508,44,19052401,44_19052401,
15,NA,NA,5/20/19,5/24/19 0:00,NA,NA,NA,air,5/24/19 0:00,run19052401,5/24/19,3,gc180508,45,19052401,45_19052401,
15,NA,NA,5/20/19,5/24/19 0:00,NA,NA,NA,standard034,5/24/19 0:00,run19052401,5/24/19,2,gc180508,46,19052401,46_19052401,
15,NA,NA,5/20/19,5/24/19 0:00,NA,NA,NA,standard035,5/24/19 0:00,run19052401,5/24/19,2,gc180508,47,19052401,47_19052401,
15,NA,NA,5/20/19,5/24/19 0:00,NA,NA,NA,standard036,5/24/19 0:00,run19052401,5/24/19,2,gc180508,48,19052401,48_19052401,
15,NA,NA,5/20/19,5/24/19 0:00,NA,NA,NA,standard037,5/24/19 0:00,run19052401,5/24/19,2,gc180508,49,19052401,49_19052401,
15,NA,NA,5/20/19,5/24/19 0:00,NA,NA,NA,standard038,5/24/19 0:00,run19052401,5/24/19,2,gc180508,50,19052401,50_19052401,
15,NA,NA,5/20/19,5/24/19 0:00,NA,NA,NA,air,5/24/19 0:00,run19052401,5/24/19,4,gc180508,51,19052401,51_19052401,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,
