projectID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,subsampleClass,subsampleDateTime,runID,runDate,replicate,metadataID,prefix,suffix,runName,comments
,NA,NA,6/14/2019,6/14/2019 0:00,NA,NA,NA,air,6/14/2019 0:00,run19061401,6/14/2019,1,gc180508,1,19061401,1_19061401,
,NA,NA,6/14/2019,6/14/2019 0:00,NA,NA,NA,standard034,6/14/2019 0:00,run19061401,6/14/2019,1,gc180508,2,19061401,2_19061401,
,NA,NA,6/14/2019,6/14/2019 0:00,NA,NA,NA,standard035,6/14/2019 0:00,run19061401,6/14/2019,1,gc180508,3,19061401,3_19061401,
,NA,NA,6/14/2019,6/14/2019 0:00,NA,NA,NA,standard036,6/14/2019 0:00,run19061401,6/14/2019,1,gc180508,4,19061401,4_19061401,
,NA,NA,6/14/2019,6/14/2019 0:00,NA,NA,NA,standard037,6/14/2019 0:00,run19061401,6/14/2019,1,gc180508,5,19061401,5_19061401,
,NA,NA,6/14/2019,6/14/2019 0:00,NA,NA,NA,standard038,6/14/2019 0:00,run19061401,6/14/2019,1,gc180508,6,19061401,6_19061401,
,NA,NA,6/14/2019,6/14/2019 0:00,NA,NA,NA,air,6/14/2019 0:00,run19061401,6/14/2019,2,gc180508,7,19061401,7_19061401,
,CB,DeepHole,6/14/2019,6/14/2019 0:00,point,0.25,0.25,pCO2,6/14/2019 0:00,run19061401,6/14/2019,1,gc180508,8,19061401,10_19061401,
,CB,DeepHole,6/14/2019,6/14/2019 0:00,point,0.25,0.25,pCO2,6/14/2019 0:00,run19061401,6/14/2019,2,gc180508,9,19061401,11_19061401,
,CB,DeepHole,6/14/2019,6/14/2019 0:00,point,0.25,0.25,pCO2,6/14/2019 0:00,run19061401,6/14/2019,3,gc180508,10,19061401,12_19061401,
,CB,DeepHole,6/14/2019,6/14/2019 0:00,point,0.25,0.25,DIC,6/14/2019 0:00,run19061401,6/14/2019,1,gc180508,11,19061401,13_19061401,
,CB,DeepHole,6/14/2019,6/14/2019 0:00,point,0.25,0.25,DIC,6/14/2019 0:00,run19061401,6/14/2019,2,gc180508,12,19061401,14_19061401,
,CB,DeepHole,6/14/2019,6/14/2019 0:00,point,5,5,DIC,6/14/2019 0:00,run19061401,6/14/2019,1,gc180508,13,19061401,15_19061401,
,CB,DeepHole,6/14/2019,6/14/2019 0:00,point,5,5,DIC,6/14/2019 0:00,run19061401,6/14/2019,2,gc180508,14,19061401,16_19061401,
,CB,DeepHole,6/14/2019,6/14/2019 0:00,atm,NA,NA,atm,6/14/2019 0:00,run19061401,6/14/2019,1,gc180508,15,19061401,8_19061401,
,CB,DeepHole,6/14/2019,6/14/2019 0:00,atm,NA,NA,atm,6/14/2019 0:00,run19061401,6/14/2019,2,gc180508,16,19061401,9_19061401,
,NA,NA,6/14/2019,6/14/2019 0:00,NA,NA,NA,air,6/14/2019 0:00,run19061401,6/14/2019,3,gc180508,17,19061401,26_19061401,
,NA,NA,6/14/2019,6/14/2019 0:00,NA,NA,NA,standard034,6/14/2019 0:00,run19061401,6/14/2019,2,gc180508,18,19061401,27_19061401,
,NA,NA,6/14/2019,6/14/2019 0:00,NA,NA,NA,standard035,6/14/2019 0:00,run19061401,6/14/2019,2,gc180508,19,19061401,28_19061401,
,NA,NA,6/14/2019,6/14/2019 0:00,NA,NA,NA,standard036,6/14/2019 0:00,run19061401,6/14/2019,2,gc180508,20,19061401,29_19061401,
,NA,NA,6/14/2019,6/14/2019 0:00,NA,NA,NA,standard037,6/14/2019 0:00,run19061401,6/14/2019,2,gc180508,21,19061401,30_19061401,
,NA,NA,6/14/2019,6/14/2019 0:00,NA,NA,NA,standard038,6/14/2019 0:00,run19061401,6/14/2019,2,gc180508,22,19061401,31_19061401,
,NA,NA,6/14/2019,6/14/2019 0:00,NA,NA,NA,air,6/14/2019 0:00,run19061401,6/14/2019,4,gc180508,23,19061401,32_19061401,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,
