projectID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,subsampleClass,subsampleDateTime,runID,runDate,replicate,metadataID,prefix,suffix,runName,comments
33,NA,NA,2019-05-31,2019-05-31 00:00,NA,NA,NA,air,2019-05-31 00:00,run19053101,2019-05-31,1,gc180508,1,19053101,1_19053101,
33,NA,NA,2019-05-31,2019-05-31 00:00,NA,NA,NA,standard034,2019-05-31 00:00,run19053101,2019-05-31,1,gc180508,2,19053101,2_19053101,
33,NA,NA,2019-05-31,2019-05-31 00:00,NA,NA,NA,standard035,2019-05-31 00:00,run19053101,2019-05-31,1,gc180508,3,19053101,3_19053101,
33,NA,NA,2019-05-31,2019-05-31 00:00,NA,NA,NA,standard036,2019-05-31 00:00,run19053101,2019-05-31,1,gc180508,4,19053101,4_19053101,
33,NA,NA,2019-05-31,2019-05-31 00:00,NA,NA,NA,standard037,2019-05-31 00:00,run19053101,2019-05-31,1,gc180508,5,19053101,5_19053101,
33,NA,NA,2019-05-31,2019-05-31 00:00,NA,NA,NA,standard038,2019-05-31 00:00,run19053101,2019-05-31,1,gc180508,6,19053101,6_19053101,
33,NA,NA,2019-05-31,2019-05-31 00:00,NA,NA,NA,air,2019-05-31 00:00,run19053101,2019-05-31,2,gc180508,7,19053101,7_19053101,
33,CB,DeepHole,2019-05-31,2019-05-31 10:45,atm,NA,NA,atm,2019-05-31 10:45,run19053101,2019-05-31,1,gc180508,8,19053101,8_19053101,
33,CB,DeepHole,2019-05-31,2019-05-31 10:45,atm,NA,NA,atm,2019-05-31 10:45,run19053101,2019-05-31,2,gc180508,9,19053101,9_19053101,
33,CB,DeepHole,2019-05-31,2019-05-31 10:45,point,0.25,0.25,pCO2,2019-05-31 10:45,run19053101,2019-05-31,1,gc180508,10,19053101,10_19053101,
33,CB,DeepHole,2019-05-31,2019-05-31 10:45,point,0.25,0.25,pCO2,2019-05-31 10:45,run19053101,2019-05-31,2,gc180508,11,19053101,11_19053101,
33,CB,DeepHole,2019-05-31,2019-05-31 10:45,point,0.25,0.25,pCO2,2019-05-31 10:45,run19053101,2019-05-31,3,gc180508,12,19053101,12_19053101,
33,CB,DeepHole,2019-05-31,2019-05-31 10:45,point,0.25,0.25,DIC,2019-05-31 10:45,run19053101,2019-05-31,1,gc180508,13,19053101,13_19053101,
33,CB,DeepHole,2019-05-31,2019-05-31 10:45,point,0.25,0.25,DIC,2019-05-31 10:45,run19053101,2019-05-31,2,gc180508,14,19053101,14_19053101,
33,CB,DeepHole,2019-05-31,2019-05-31 10:45,point,2.5,2.5,DIC,2019-05-31 10:45,run19053101,2019-05-31,1,gc180508,15,19053101,15_19053101,
33,CB,DeepHole,2019-05-31,2019-05-31 10:45,point,2.5,2.5,DIC,2019-05-31 10:45,run19053101,2019-05-31,2,gc180508,16,19053101,16_19053101,
33,HB,DeepHole,2019-05-31,2019-05-31 10:45,atm,NA,NA,atm,2019-05-31 10:45,run19053101,2019-05-31,1,gc180508,17,19053101,17_19053101,
33,HB,DeepHole,2019-05-31,2019-05-31 11:50,atm,NA,NA,atm,2019-05-31 11:50,run19053101,2019-05-31,2,gc180508,18,19053101,18_19053101,
33,HB,DeepHole,2019-05-31,2019-05-31 11:50,point,0.25,0.25,pCO2,2019-05-31 11:50,run19053101,2019-05-31,1,gc180508,19,19053101,19_19053101,
33,HB,DeepHole,2019-05-31,2019-05-31 11:50,point,0.25,0.25,pCO2,2019-05-31 11:50,run19053101,2019-05-31,2,gc180508,20,19053101,20_19053101,
33,HB,DeepHole,2019-05-31,2019-05-31 11:50,point,0.25,0.25,pCO2,2019-05-31 11:50,run19053101,2019-05-31,3,gc180508,21,19053101,21_19053101,
33,HB,DeepHole,2019-05-31,2019-05-31 11:50,point,0.25,0.25,DIC,2019-05-31 11:50,run19053101,2019-05-31,1,gc180508,22,19053101,22_19053101,
33,HB,DeepHole,2019-05-31,2019-05-31 11:50,point,0.25,0.25,DIC,2019-05-31 11:50,run19053101,2019-05-31,2,gc180508,23,19053101,23_19053101,
33,HB,DeepHole,2019-05-31,2019-05-31 11:50,point,3.5,3.5,DIC,2019-05-31 11:50,run19053101,2019-05-31,1,gc180508,24,19053101,24_19053101,
33,HB,DeepHole,2019-05-31,2019-05-31 11:50,point,3.5,3.5,DIC,2019-05-31 11:50,run19053101,2019-05-31,2,gc180508,25,19053101,25_19053101,
33,NA,NA,2019-05-31,2019-05-31 00:00,NA,NA,NA,air,2019-05-31 00:00,run19053101,2019-05-31,3,gc180508,26,19053101,26_19053101,
33,NA,NA,2019-05-31,2019-05-31 00:00,NA,NA,NA,standard034,2019-05-31 00:00,run19053101,2019-05-31,2,gc180508,27,19053101,27_19053101,
33,NA,NA,2019-05-31,2019-05-31 00:00,NA,NA,NA,standard035,2019-05-31 00:00,run19053101,2019-05-31,2,gc180508,28,19053101,28_19053101,
33,NA,NA,2019-05-31,2019-05-31 00:00,NA,NA,NA,standard036,2019-05-31 00:00,run19053101,2019-05-31,2,gc180508,29,19053101,29_19053101,
33,NA,NA,2019-05-31,2019-05-31 00:00,NA,NA,NA,standard037,2019-05-31 00:00,run19053101,2019-05-31,2,gc180508,30,19053101,30_19053101,
33,NA,NA,2019-05-31,2019-05-31 00:00,NA,NA,NA,standard038,2019-05-31 00:00,run19053101,2019-05-31,2,gc180508,31,19053101,31_19053101,
33,NA,NA,2019-05-31,2019-05-31 00:00,NA,NA,NA,air,2019-05-31 00:00,run19053101,2019-05-31,4,gc180508,32,19053101,32_19053101,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,
