projectID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,subsampleClass,subsampleDateTime,runID,runDate,replicate,metadataID,prefix,suffix,runName,comments
15,NA,NA,6/6/19,6/6/19 0:00,NA,NA,NA,air,6/6/19 0:00,run19060601,6/6/19,1,gc180508,1,19060601,1_19060601,
15,NA,NA,6/6/19,6/6/19 0:00,NA,NA,NA,standard034,6/6/19 0:00,run19060601,6/6/19,1,gc180508,2,19060601,2_19060601,
15,NA,NA,6/6/19,6/6/19 0:00,NA,NA,NA,standard035,6/6/19 0:00,run19060601,6/6/19,1,gc180508,3,19060601,3_19060601,
15,NA,NA,6/6/19,6/6/19 0:00,NA,NA,NA,standard036,6/6/19 0:00,run19060601,6/6/19,1,gc180508,4,19060601,4_19060601,
15,NA,NA,6/6/19,6/6/19 0:00,NA,NA,NA,standard037,6/6/19 0:00,run19060601,6/6/19,1,gc180508,5,19060601,5_19060601,
15,NA,NA,6/6/19,6/6/19 0:00,NA,NA,NA,standard038,6/6/19 0:00,run19060601,6/6/19,1,gc180508,6,19060601,6_19060601,
15,NA,NA,6/6/19,6/6/19 0:00,NA,NA,NA,air,6/6/19 0:00,run19060601,6/6/19,2,gc180508,7,19060601,7_19060601,
34,PE,DeepHole,6/5/19,6/5/19 11:00,methSlurry,NA,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,1,gc180508,8,19060601,8_19060601,
34,PE,DeepHole,6/5/19,6/5/19 11:00,methSlurry,NA,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,2,gc180508,9,19060601,9_19060601,
34,PE,DeepHole,6/5/19,6/5/19 11:00,methSlurry,NA,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,3,gc180508,10,19060601,10_19060601,
34,PA,DeepHole,6/5/19,6/5/19 11:00,methSlurry,NA,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,1,gc180508,11,19060601,11_19060601,
34,PA,DeepHole,6/5/19,6/5/19 11:00,methSlurry,NA,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,2,gc180508,12,19060601,12_19060601,
34,PA,DeepHole,6/5/19,6/5/19 11:00,methSlurry,NA,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,3,gc180508,13,19060601,13_19060601,
33,HB,DeepHole,5/31/19,5/31/19 11:50,lab,control,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,1,gc180508,14,19060601,14_19060601,
33,HB,DeepHole,5/31/19,5/31/19 11:50,lab,control,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,2,gc180508,15,19060601,15_19060601,
33,HB,DeepHole,5/31/19,5/31/19 11:50,lab,control,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,3,gc180508,16,19060601,16_19060601,
33,HB,DeepHole,5/31/19,5/31/19 11:50,lab,algal,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,1,gc180508,17,19060601,17_19060601,
33,HB,DeepHole,5/31/19,5/31/19 11:50,lab,algal,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,2,gc180508,18,19060601,18_19060601,
33,HB,DeepHole,5/31/19,5/31/19 11:50,lab,algal,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,3,gc180508,19,19060601,19_19060601,
33,HB,DeepHole,5/31/19,5/31/19 11:50,lab,BES,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,1,gc180508,20,19060601,20_19060601,
33,HB,DeepHole,5/31/19,5/31/19 11:50,lab,BES,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,2,gc180508,21,19060601,21_19060601,
33,HB,DeepHole,5/31/19,5/31/19 11:50,lab,BES,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,3,gc180508,22,19060601,22_19060601,
33,HB,DeepHole,5/31/19,5/31/19 11:50,lab,algalBES,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,1,gc180508,23,19060601,23_19060601,
33,HB,DeepHole,5/31/19,5/31/19 11:50,lab,algalBES,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,2,gc180508,24,19060601,24_19060601,
33,HB,DeepHole,5/31/19,5/31/19 11:50,lab,algalBES,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,3,gc180508,25,19060601,25_19060601,
33,CB,DeepHole,5/31/19,5/31/19 10:45,lab,control,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,1,gc180508,26,19060601,26_19060601,
33,CB,DeepHole,5/31/19,5/31/19 10:45,lab,control,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,2,gc180508,27,19060601,27_19060601,
33,CB,DeepHole,5/31/19,5/31/19 10:45,lab,control,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,3,gc180508,28,19060601,28_19060601,
33,CB,DeepHole,5/31/19,5/31/19 10:45,lab,algal,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,1,gc180508,29,19060601,29_19060601,
33,CB,DeepHole,5/31/19,5/31/19 10:45,lab,algal,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,2,gc180508,30,19060601,30_19060601,
33,CB,DeepHole,5/31/19,5/31/19 10:45,lab,algal,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,3,gc180508,31,19060601,31_19060601,
33,CB,DeepHole,5/31/19,5/31/19 10:45,lab,BES,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,1,gc180508,32,19060601,32_19060601,
33,CB,DeepHole,5/31/19,5/31/19 10:45,lab,BES,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,2,gc180508,33,19060601,33_19060601,
33,CB,DeepHole,5/31/19,5/31/19 10:45,lab,BES,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,3,gc180508,34,19060601,34_19060601,
33,CB,DeepHole,5/31/19,5/31/19 10:45,lab,algalBES,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,1,gc180508,35,19060601,35_19060601,
33,CB,DeepHole,5/31/19,5/31/19 10:45,lab,algalBES,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,2,gc180508,36,19060601,36_19060601,
33,CB,DeepHole,5/31/19,5/31/19 10:45,lab,algalBES,NA,methSlurry,6/6/19 12:00,run19060601,6/6/19,3,gc180508,37,19060601,37_19060601,
15,ME,DeepHole,6/6/19,6/6/19 10:00,atm,NA,NA,atm,6/6/19 10:00,run19060601,6/6/19,1,gc180508,38,19060601,38_19060601,
15,ME,DeepHole,6/6/19,6/6/19 10:00,atm,NA,NA,atm,6/6/19 10:00,run19060601,6/6/19,2,gc180508,39,19060601,39_19060601,
15,ME,DeepHole,6/6/19,6/6/19 10:00,point,0.25,0.25,pCO2,6/6/19 10:00,run19060601,6/6/19,1,gc180508,40,19060601,40_19060601,
15,ME,DeepHole,6/6/19,6/6/19 10:00,point,0.25,0.25,pCO2,6/6/19 10:00,run19060601,6/6/19,2,gc180508,41,19060601,41_19060601,
15,ME,DeepHole,6/6/19,6/6/19 10:00,point,0.25,0.25,pCO2,6/6/19 10:00,run19060601,6/6/19,3,gc180508,42,19060601,42_19060601,
15,ME,DeepHole,6/6/19,6/6/19 10:00,point,0.25,0.25,DIC,6/6/19 10:00,run19060601,6/6/19,1,gc180508,43,19060601,43_19060601,
15,ME,DeepHole,6/6/19,6/6/19 10:00,point,0.25,0.25,DIC,6/6/19 10:00,run19060601,6/6/19,2,gc180508,44,19060601,44_19060601,
15,ME,DeepHole,6/6/19,6/6/19 10:00,point,,,DIC,6/6/19 10:00,run19060601,6/6/19,1,gc180508,45,19060601,45_19060601,
15,ME,DeepHole,6/6/19,6/6/19 10:00,point,,,DIC,6/6/19 10:00,run19060601,6/6/19,2,gc180508,46,19060601,46_19060601,
15,ME,Outlet,6/6/19,6/6/19 10:00,point,0,0,pCO2,6/6/19 10:00,run19060601,6/6/19,1,gc180508,47,19060601,47_19060601,
15,ME,Outlet,6/6/19,6/6/19 10:00,point,0,0,pCO2,6/6/19 10:00,run19060601,6/6/19,2,gc180508,48,19060601,48_19060601,
15,ME,Outlet,6/6/19,6/6/19 10:00,point,0,0,DIC,6/6/19 10:00,run19060601,6/6/19,1,gc180508,49,19060601,49_19060601,
15,ME,Outlet,6/6/19,6/6/19 10:00,point,0,0,DIC,6/6/19 10:00,run19060601,6/6/19,2,gc180508,50,19060601,50_19060601,
15,NA,NA,6/6/19,6/6/19 0:00,NA,NA,NA,air,6/6/19 0:00,run19060601,6/6/19,3,gc180508,51,19060601,51_19060601,
15,NA,NA,6/6/19,6/6/19 0:00,NA,NA,NA,standard034,6/6/19 0:00,run19060601,6/6/19,2,gc180508,52,19060601,52_19060601,
15,NA,NA,6/6/19,6/6/19 0:00,NA,NA,NA,standard035,6/6/19 0:00,run19060601,6/6/19,2,gc180508,53,19060601,53_19060601,
15,NA,NA,6/6/19,6/6/19 0:00,NA,NA,NA,standard036,6/6/19 0:00,run19060601,6/6/19,2,gc180508,54,19060601,54_19060601,
15,NA,NA,6/6/19,6/6/19 0:00,NA,NA,NA,standard037,6/6/19 0:00,run19060601,6/6/19,2,gc180508,55,19060601,55_19060601,
15,NA,NA,6/6/19,6/6/19 0:00,NA,NA,NA,standard038,6/6/19 0:00,run19060601,6/6/19,2,gc180508,56,19060601,56_19060601,
15,NA,NA,6/6/19,6/6/19 0:00,NA,NA,NA,air,6/6/19 0:00,run19060601,6/6/19,4,gc180508,57,19060601,57_19060601,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,
