"runName","projectID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","subsampleClass","subsampleDateTime","runID","runDate","replicate","metadataID","prefix","suffix","comments","FID_RT","TCD_RT","CH4area","CO2area","CH4ppm","CO2ppm","CH4original_umolL","CO2original_umolL"
"1_19060701",15,NA,NA,"2019-06-07","2019-06-07 00:00",NA,NA,NA,"air","2019-06-07 00:00","run19060701","2019-06-07",1,"gc180508",1,19060701,NA,1.458,2.195,1.50366,5.20027,31.048643405016,1298.50134289081,1.28131728494197,53.586631578807
"2_19060701",15,NA,NA,"2019-06-07","2019-06-07 00:00",NA,NA,NA,"standard034","2019-06-07 00:00","run19060701","2019-06-07",1,"gc180508",2,19060701,NA,1.452,2.194,3.82831,1.70651,79.0496734859322,426.113553076397,0,0
"3_19060701",15,NA,NA,"2019-06-07","2019-06-07 00:00",NA,NA,NA,"standard035","2019-06-07 00:00","run19060701","2019-06-07",1,"gc180508",3,19060701,NA,1.454,2.193,2.31985,5.6507,47.9019162597438,1410.97318759855,0,0
"4_19060701",15,NA,NA,"2019-06-07","2019-06-07 00:00",NA,NA,NA,"standard036","2019-06-07 00:00","run19060701","2019-06-07",1,"gc180508",4,19060701,NA,1.45,2.19,30.75741,21.59345,635.100923847062,5391.8592347408,0,0
"5_19060701",15,NA,NA,"2019-06-07","2019-06-07 00:00",NA,NA,NA,"standard037","2019-06-07 00:00","run19060701","2019-06-07",1,"gc180508",5,19060701,NA,1.449,2.189,157.23175,30.85757,3246.63324002542,7705.0991743404,0,0
"6_19060701",15,NA,NA,"2019-06-07","2019-06-07 00:00",NA,NA,NA,"standard038","2019-06-07 00:00","run19060701","2019-06-07",1,"gc180508",6,19060701,NA,1.449,2.188,2808.90479,62.01167,49445.7308626768,15484.2415432087,0,0
"7_19060701",15,NA,NA,"2019-06-07","2019-06-07 00:00",NA,NA,NA,"air","2019-06-07 00:00","run19060701","2019-06-07",2,"gc180508",7,19060701,NA,1.457,2.192,1.39554,2.19401,28.8161045831079,547.841733470736,1.18918473845677,22.6083656329803
"8_19060701",15,"HB","DeepHole","2019-06-07","","atm",NA,NA,"atm","","run19060701","2019-06-07",1,"gc180508",8,19060701,NA,1.455,2.191,2.08632,3.74554,43.0798223725796,935.256961629155,1.77782070276533,38.5962405882165
"9_19060701",15,"HB","DeepHole","2019-06-07","","atm",NA,NA,"atm","","run19060701","2019-06-07",2,"gc180508",9,19060701,NA,1.456,2.193,1.28557,2.37448,26.545365642623,592.904881605642,1.09547574717878,24.4680343426872
"10_19060701",15,"HB","DeepHole","2019-06-07","","point",0.25,0.25,"pCO2","","run19060701","2019-06-07",1,"gc180508",10,19060701,NA,1.453,2.192,2.90304,6.44045,59.9440390450618,1608.17283983738,0.907088277028059,76.6878222913245
"11_19060701",15,"HB","DeepHole","2019-06-07","","point",0.25,0.25,"pCO2","","run19060701","2019-06-07",2,"gc180508",11,19060701,NA,1.452,2.191,2.98087,7.7309,61.5511283579467,1930.39669704738,0.931407156754516,92.0534877767858
"12_19060701",15,"HB","DeepHole","2019-06-07","","point",0.25,0.25,"pCO2","","run19060701","2019-06-07",3,"gc180508",12,19060701,NA,1.452,2.192,2.99327,8.23171,61.8071723959753,2055.44836889002,0.935281679542748,98.0167400777459
"13_19060701",15,"HB","DeepHole","2019-06-07","","point",0.25,0.25,"DIC","","run19060701","2019-06-07",1,"gc180508",13,19060701,NA,1.454,2.191,1.91039,5.7048,39.447094339484,1424.48189438692,1.68219339640573,107.118682680728
