"runName","projectID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","subsampleClass","subsampleDateTime","runID","runDate","replicate","metadataID","prefix","suffix","comments","FID_RT","TCD_RT","CH4area","CO2area","CH4ppm","CO2ppm","CH4original_umolL","CO2original_umolL"
"1_19053001",34,NA,NA,"2019-05-30","2019-05-30 00:00",NA,NA,NA,"air","2019-05-30 00:00","run19053001","2019-05-30",1,"gc180508",1,19053001,NA,1.461,2.197,1.39918,2.6875,28.2912665981624,6051.52137266562,1.16752569290259,249.734548264982
"2_19053001",34,NA,NA,"2019-05-30","2019-05-30 00:00",NA,NA,NA,"standard029","2019-05-30 00:00","run19053001","2019-05-30",1,"gc180508",2,19053001,NA,1.454,2.196,5.52828,1.61758,111.781217076637,3642.35160632426,0,0
"3_19053001",34,NA,NA,"2019-05-30","2019-05-30 00:00",NA,NA,NA,"standard030","2019-05-30 00:00","run19053001","2019-05-30",1,"gc180508",3,19053001,NA,1.457,2.195,1.51416,3.36603,30.6161496249757,7579.3869715474,0,0
"4_19053001",34,NA,NA,"2019-05-30","2019-05-30 00:00",NA,NA,NA,"standard031","2019-05-30 00:00","run19053001","2019-05-30",1,"gc180508",4,19053001,NA,1.453,2.194,29.46462,20.13351,595.771394412118,45335.2059801961,0,0
"5_19053001",34,NA,NA,"2019-05-30","2019-05-30 00:00",NA,NA,NA,"standard032","2019-05-30 00:00","run19053001","2019-05-30",1,"gc180508",5,19053001,NA,1.452,2.193,129.85718,25.73596,2625.69797957772,57950.4044599321,0,0
"6_19053001",34,NA,NA,"2019-05-30","2019-05-30 00:00",NA,NA,NA,"standard033","2019-05-30 00:00","run19053001","2019-05-30",1,"gc180508",6,19053001,NA,1.451,2.191,2111.42041,46.97635,42742.9128909213,105778.00410598,0,0
"7_19053001",34,NA,NA,"2019-05-30","2019-05-30 00:00",NA,NA,NA,"air","2019-05-30 00:00","run19053001","2019-05-30",2,"gc180508",7,19053001,NA,1.46,2.194,0.969729,1.70591,19.607814339091,3841.24681854661,0.809176462394213,158.520804923057
"8_19053001",34,"PE","DeepHole","2019-05-23","2019-05-23 17:00","methSlurry","control",NA,"methSlurry","2019-05-30 09:00","run19053001","2019-05-30",1,"gc180508",8,19053001,NA,1.452,2.193,232.92159,18.28641,4709.64907957366,41176.0375606795,194.358081702656,1699.25519655377
"9_19053001",34,"PE","DeepHole","2019-05-23","2019-05-23 17:00","methSlurry","control",NA,"methSlurry","2019-05-30 09:00","run19053001","2019-05-30",2,"gc180508",9,19053001,NA,1.452,2.193,220.2478,18.26234,4453.38643166622,41121.8384464693,183.782619323655,1697.01850424614
"10_19053001",34,"PE","DeepHole","2019-05-23","2019-05-23 17:00","methSlurry","control",NA,"methSlurry","2019-05-30 09:00","run19053001","2019-05-30",3,"gc180508",10,19053001,NA,1.451,2.192,262.69031,21.39659,5311.56934273211,48179.3196975492,219.198163353926,1988.26706532504
"11_19053001",34,"PE","DeepHole","2019-05-23","2019-05-23 17:00","methSlurry","algal",NA,"methSlurry","2019-05-30 09:00","run19053001","2019-05-30",1,"gc180508",11,19053001,NA,1.451,2.192,285.56451,26.05187,5774.08316541374,58661.7481313139,238.285211628338,2420.85655289601
"12_19053001",34,"PE","DeepHole","2019-05-23","2019-05-23 17:00","methSlurry","algal",NA,"methSlurry","2019-05-30 09:00","run19053001","2019-05-30",2,"gc180508",12,19053001,NA,1.451,2.192,209.38843,23.28866,4233.81115775001,52439.7483649276,174.721173702837,2164.0866920174
"13_19053001",34,"PE","DeepHole","2019-05-23","2019-05-23 17:00","methSlurry","algal",NA,"methSlurry","2019-05-30 09:00","run19053001","2019-05-30",3,"gc180508",13,19053001,NA,1.451,2.192,240.98743,21.59344,4872.73948236538,48622.5725281387,201.088506261928,2006.55924981842
"14_19053001",34,"PE","DeepHole","2019-05-23","2019-05-23 17:00","methSlurry","BES",NA,"methSlurry","2019-05-30 09:00","run19053001","2019-05-30",1,"gc180508",14,19053001,NA,1.451,2.192,166.96152,18.25964,3375.94367697824,41115.7587784856,139.31864686893,1696.76760814184
"15_19053001",34,"PE","DeepHole","2019-05-23","2019-05-23 17:00","methSlurry","BES",NA,"methSlurry","2019-05-30 09:00","run19053001","2019-05-30",2,"gc180508",15,19053001,NA,1.45,2.191,229.42177,21.90405,4638.88310188274,49321.9820364414,191.437707075708,2035.42252350645
"16_19053001",34,"PE","DeepHole","2019-05-23","2019-05-23 17:00","methSlurry","BES",NA,"methSlurry","2019-05-30 09:00","run19053001","2019-05-30",3,"gc180508",16,19053001,NA,1.45,2.191,213.69255,21.30621,4320.83999348986,47975.808441117,178.312684934655,1979.86855054469
"17_19053001",34,"PE","DeepHole","2019-05-23","2019-05-23 17:00","methSlurry","algalBES",NA,"methSlurry","2019-05-30 09:00","run19053001","2019-05-30",1,"gc180508",17,19053001,NA,1.45,2.191,178.53876,19.75962,3610.0342037946,44493.3070681864,148.979108820144,1836.15247426519
"18_19053001",34,"PE","DeepHole","2019-05-23","2019-05-23 17:00","methSlurry","algalBES",NA,"methSlurry","2019-05-30 09:00","run19053001","2019-05-30",2,"gc180508",18,19053001,NA,1.45,2.191,147.82645,18.62812,2989.03465401872,41945.475837239,123.351662020312,1731.00842166544
