"runName","projectID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","subsampleClass","subsampleDateTime","runID","runDate","replicate","metadataID","prefix","suffix","comments","FID_RT","TCD_RT","CH4area","CO2area","CH4ppm","CO2ppm","CH4original_umolL","CO2original_umolL"
"1_19052401",15,NA,NA,"5/24/19","5/24/19 0:00",NA,NA,NA,"air","5/24/19 0:00","run19052401","5/24/19",1,"gc180508",1,19052401,NA,1.463,2.198,0.971561,2.2858,16.3481418480814,523.000744555684,0.674656101826519,21.5832262071861
"2_19052401",15,NA,NA,"5/24/19","5/24/19 0:00",NA,NA,NA,"standard034","5/24/19 0:00","run19052401","5/24/19",1,"gc180508",2,19052401,NA,1.456,2.198,5.61391,1.34434,94.4634428536783,307.590699508264,0,0
"3_19052401",15,NA,NA,"5/24/19","5/24/19 0:00",NA,NA,NA,"standard035","5/24/19 0:00","run19052401","5/24/19",1,"gc180508",3,19052401,NA,1.458,2.197,2.65389,4.66469,44.6561463142352,1067.30087633277,0,0
"4_19052401",15,NA,NA,"5/24/19","5/24/19 0:00",NA,NA,NA,"standard036","5/24/19 0:00","run19052401","5/24/19",1,"gc180508",4,19052401,NA,1.454,2.194,32.79082,21.65738,551.760493345146,4955.3004922239,0,0
"5_19052401",15,NA,NA,"5/24/19","5/24/19 0:00",NA,NA,NA,"standard037","5/24/19 0:00","run19052401","5/24/19",1,"gc180508",5,19052401,NA,1.453,2.193,171.11478,33.25837,2879.29290671737,7609.6562572003,0,0
"6_19052401",15,NA,NA,"5/24/19","5/24/19 0:00",NA,NA,NA,"standard038","5/24/19 0:00","run19052401","5/24/19",1,"gc180508",6,19052401,NA,1.452,2.191,2234.60596,49.40079,38721.7051285077,11303.1104871988,0,0
"7_19052401",15,NA,NA,"5/24/19","5/24/19 0:00",NA,NA,NA,"air","5/24/19 0:00","run19052401","5/24/19",2,"gc180508",7,19052401,NA,1.46,2.195,1.40399,2.01962,23.6244843847044,462.097630466161,0.97493664361107,19.0698728290127
"8_19052401",15,"ME","DeepHole","5/24/19","","atm",NA,NA,"atm","","run19052401","5/24/19",1,"gc180508",8,19052401,NA,1.459,2.193,1.69434,2.14517,28.5101096677184,490.82400349922,1.1765569218698,20.2553545204608
"9_19052401",15,"ME","DeepHole","5/24/19","","atm",NA,NA,"atm","","run19052401","5/24/19",2,"gc180508",9,19052401,NA,1.46,2.194,1.63463,2.05893,27.5053888630042,471.091925360064,1.13509404322393,19.4410499320858
"10_19052401",15,"ME","DeepHole","5/24/19","","point","0.25",0.25,"pCO2","","run19052401","5/24/19",1,"gc180508",10,19052401,NA,1.458,2.194,1.71151,2.43004,28.7990236891042,556.003468938706,0.435794070509698,26.5137516087159
"11_19052401",15,"ME","DeepHole","5/24/19","","point","0.25",0.25,"pCO2","","run19052401","5/24/19",2,"gc180508",11,19052401,NA,1.458,2.193,1.87261,2.50639,31.5098011407783,573.472673089037,0.47681423677172,27.3467934250339
"12_19052401",15,"ME","DeepHole","5/24/19","","point","0.25",0.25,"pCO2","","run19052401","5/24/19",3,"gc180508",12,19052401,NA,1.455,2.197,3.20711,2.61173,53.9649998326407,597.574912318846,0.816611951710687,28.4961401824791
"13_19052401",15,"ME","DeepHole","5/24/19","","point","0.25",0.25,"DIC","","run19052401","5/24/19",1,"gc180508",13,19052401,NA,1.458,2.193,1.6986,3.15807,28.5817913061054,722.579823851155,1.21885024480629,54.3368077668133
"14_19052401",15,"ME","DeepHole","5/24/19","","point","0.25",0.25,"DIC","","run19052401","5/24/19",2,"gc180508",14,19052401,NA,1.457,2.193,1.04987,3.42063,17.6658219937247,782.654666571665,0.753346465627447,58.8543365889276
"15_19052401",15,"ME","DeepHole","5/24/19","","point","8",8,"DIC","","run19052401","5/24/19",1,"gc180508",15,19052401,NA,1.456,2.191,2.21321,18.50978,37.2409668765957,4235.11624882401,1.58811465342502,318.473737968444
"16_19052401",15,"ME","DeepHole","5/24/19","","point","8",8,"DIC","","run19052401","5/24/19",2,"gc180508",16,19052401,NA,1.455,2.191,1.98565,18.99892,33.4118885593831,4347.03355750892,1.42482632085224,326.889734495139
