"runName","projectID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","subsampleClass","subsampleDateTime","runID","runDate","replicate","metadataID","prefix","suffix","comments","FID_RT","TCD_RT","CH4area","CO2area","CH4ppm","CO2ppm","CH4original_umolL","CO2original_umolL"
"1_19060301",15,NA,NA,"6/3/2019","6/3/2019 0:00",NA,NA,NA,"air","6/3/2019 0:00","run19060301","6/3/2019",1,"gc180508",1,19060301,NA,1.461,2.199,1.70443,2.5478,31.525633718051,627.931811875489,1.30100174989166,25.9135278094311
"2_19060301",15,NA,NA,"6/3/2019","6/3/2019 0:00",NA,NA,NA,"standard034","6/3/2019 0:00","run19060301","6/3/2019",1,"gc180508",2,19060301,NA,1.458,NA,1.80751,NA,33.4322314214808,0,0,0
"3_19060301",15,NA,NA,"6/3/2019","6/3/2019 0:00",NA,NA,NA,"standard035","6/3/2019 0:00","run19060301","6/3/2019",1,"gc180508",3,19060301,NA,1.455,2.196,2.26034,4.08644,41.8079069942793,1007.14564460337,0,0
"4_19060301",15,NA,NA,"6/3/2019","6/3/2019 0:00",NA,NA,NA,"standard036","6/3/2019 0:00","run19060301","6/3/2019",1,"gc180508",4,19060301,NA,1.453,2.195,35.74887,24.4149,661.221511856881,6017.30606553061,0,0
"5_19060301",15,NA,NA,"6/3/2019","6/3/2019 0:00",NA,NA,NA,"standard037","6/3/2019 0:00","run19060301","6/3/2019",1,"gc180508",5,19060301,NA,1.452,2.193,178.05338,35.12074,3293.32717691014,8655.87169424914,0,0
"6_19060301",15,NA,NA,"6/3/2019","6/3/2019 0:00",NA,NA,NA,"standard038","6/3/2019 0:00","run19060301","6/3/2019",1,"gc180508",6,19060301,NA,1.451,2.191,2651.40723,58.98739,49213.3901544942,14538.0558444564,0,0
"7_19060301",15,NA,NA,"6/3/2019","6/3/2019 0:00",NA,NA,NA,"air","6/3/2019 0:00","run19060301","6/3/2019",2,"gc180508",7,19060301,NA,1.459,2.196,1.31144,2.69456,24.2567762144534,664.102340453418,1.00103010090055,27.4062153599893
"8_19060301",15,"MO","DeepHole","6/3/2019","6/3/2019 10:10","atm",NA,NA,"atm","6/3/2019 10:10","run19060301","6/3/2019",1,"gc180508",8,19060301,NA,1.459,2.195,1.13002,2.20899,20.9011790534502,544.428563119098,0.862551115277587,22.4675107134607
"9_19060301",15,"MO","DeepHole","6/3/2019","6/3/2019 10:10","atm",NA,NA,"atm","6/3/2019 10:10","run19060301","6/3/2019",2,"gc180508",9,19060301,NA,1.458,2.195,1.09506,3.24389,20.2545487108822,799.490433010747,0.835865935378023,32.993419313029
"10_19060301",15,"MO","DeepHole","6/3/2019","6/3/2019 10:10","point",0.25,0.25,"pCO2","6/3/2019 10:10","run19060301","6/3/2019",1,"gc180508",10,19060301,NA,1.453,2.195,5.55618,3.52921,102.768723591794,869.810514871299,1.55512217562077,41.4780504552738
"11_19060301",15,"MO","DeepHole","6/3/2019","6/3/2019 10:10","point",0.25,0.25,"pCO2","6/3/2019 10:10","run19060301","6/3/2019",2,"gc180508",11,19060301,NA,1.453,2.195,6.29505,4.21257,116.435078317571,1038.2316950908,1.76192489293751,49.5094344078059
"12_19060301",15,"MO","DeepHole","6/3/2019","6/3/2019 10:10","point",0.25,0.25,"pCO2","6/3/2019 10:10","run19060301","6/3/2019",3,"gc180508",12,19060301,NA,1.455,2.195,2.21082,2.07638,40.8919706509165,511.74544922758,0.618787585770423,24.4032501336903
"13_19060301",15,"MO","DeepHole","6/3/2019","6/3/2019 10:10","point",0.25,0.25,"DIC","6/3/2019 10:10","run19060301","6/3/2019",1,"gc180508",13,19060301,NA,1.454,2.193,1.99259,20.88169,36.855525008508,5146.50970905184,1.57167775798184,387.0090189349
"14_19060301",15,"MO","DeepHole","6/3/2019","6/3/2019 10:10","point",0.25,0.25,"DIC","6/3/2019 10:10","run19060301","6/3/2019",2,"gc180508",14,19060301,NA,1.453,2.193,2.14168,21.99819,39.6131370729661,5421.6827477358,1.68927417116142,407.701576368748
"15_19060301",15,"MO","DeepHole","6/3/2019","6/3/2019 10:10","point",6.5,6.5,"DIC","6/3/2019 10:10","run19060301","6/3/2019",1,"gc180508",15,19060301,NA,1.451,2.189,125.70258,69.43704,2325.03153223894,17113.4807828208,99.1493227944196,1286.90545296589
"16_19060301",15,"MO","DeepHole","6/3/2019","6/3/2019 10:10","point",6.5,6.5,"DIC","6/3/2019 10:10","run19060301","6/3/2019",2,"gc180508",16,19060301,NA,1.451,2.189,144.30835,75.5729,2669.16927333848,18625.7273042174,113.824832999291,1400.62389045452
"17_19060301",15,"MO","Outlet","6/3/2019","6/3/2019 10:10","point",0,0,"pCO2","6/3/2019 10:10","run19060301","6/3/2019",1,"gc180508",17,19060301,NA,1.452,2.193,6.7685,3.87098,125.19214741622,954.043286417215,1.89443906527312,45.4948001822945
"18_19060301",15,"MO","Outlet","6/3/2019","6/3/2019 10:10","point",0,0,"pCO2","6/3/2019 10:10","run19060301","6/3/2019",2,"gc180508",18,19060301,NA,1.452,2.192,6.9872,3.06823,129.237286315523,756.197198818876,1.95565112460313,36.0602510897296
"19_19060301",15,"MO","Outlet","6/3/2019","6/3/2019 10:10","point",0,0,"DIC","6/3/2019 10:10","run19060301","6/3/2019",1,"gc180508",19,19060301,NA,1.453,2.192,2.56526,21.70811,47.4477961263106,5350.18951436236,2.0233776569392,402.32540345302
"20_19060301",15,"MO","Outlet","6/3/2019","6/3/2019 10:10","point",0,0,"DIC","6/3/2019 10:10","run19060301","6/3/2019",2,"gc180508",20,19060301,NA,1.452,2.192,4.10862,28.70667,75.9942322105683,7075.05742444923,3.24072020335309,532.032617742525
"21_19060301",15,"MO","Inlet1","6/3/2019","6/3/2019 10:10","point",0,0,"pCO2","6/3/2019 10:10","run19060301","6/3/2019",1,"gc180508",21,19060301,NA,1.451,2.192,18.7375,8.5344,346.574257547674,2103.39165368953,5.24444884177514,100.302978231811
"22_19060301",15,"MO","Inlet1","6/3/2019","6/3/2019 10:10","point",0,0,"pCO2","6/3/2019 10:10","run19060301","6/3/2019",2,"gc180508",22,19060301,NA,1.451,2.192,16.58606,7.66456,306.780596671977,1889.01053772996,4.64228115578988,90.0799347155519
