"runName","projectID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","subsampleClass","subsampleDateTime","runID","runDate","replicate","metadataID","prefix","suffix","comments","FID_RT","TCD_RT","CH4area","CO2area","CH4ppm","CO2ppm","CH4original_umolL","CO2original_umolL"
"1_19060401",34,NA,NA,"6/4/19","6/4/19 0:00",NA,NA,NA,"air","6/4/19 0:00","run19060401","6/4/19",1,"gc180508",1,19060401,NA,1.463,NA,1.35949,NA,25.893605179851,0,1.06857885716984,0
"2_19060401",34,NA,NA,"6/4/19","6/4/19 0:00",NA,NA,NA,"standard034","6/4/19 0:00","run19060401","6/4/19",1,"gc180508",2,19060401,NA,1.457,2.198,5.29104,1.55302,100.776100413243,393.259630324776,0,0
"3_19060401",34,NA,NA,"6/4/19","6/4/19 0:00",NA,NA,NA,"standard035","6/4/19 0:00","run19060401","6/4/19",1,"gc180508",3,19060401,NA,1.46,2.198,2.04189,3.50162,38.8909763813533,886.689023153495,0,0
"4_19060401",34,NA,NA,"6/4/19","6/4/19 0:00",NA,NA,NA,"standard036","6/4/19 0:00","run19060401","6/4/19",1,"gc180508",4,19060401,NA,1.455,2.197,26.56435,17.62749,505.95943387548,4463.67735183944,0,0
"5_19060401",34,NA,NA,"6/4/19","6/4/19 0:00",NA,NA,NA,"standard037","6/4/19 0:00","run19060401","6/4/19",1,"gc180508",5,19060401,NA,1.454,2.196,152.30551,29.58324,2900.89573491225,7491.14243616252,0,0
"6_19060401",34,NA,NA,"6/4/19","6/4/19 0:00",NA,NA,NA,"standard038","6/4/19 0:00","run19060401","6/4/19",1,"gc180508",6,19060401,NA,1.452,2.194,1878.84863,42.68481,37318.0159340818,10808.7549426815,0,0
"7_19060401",34,NA,NA,"6/4/19","6/4/19 0:00",NA,NA,NA,"air","6/4/19 0:00","run19060401","6/4/19",2,"gc180508",7,19060401,NA,1.461,2.197,1.58835,1.46048,30.2526004512107,369.82641878194,1.2484661364083,15.2620189111686
"8_19060401",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","control",NA,"methSlurry","6/4/19 10:00","run19060401","6/4/19",1,"gc180508",8,19060401,NA,1.452,2.194,313.33517,24.07017,5967.95649908532,6095.10898510934,246.28598803207,251.533324478969
"9_19060401",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","control",NA,"methSlurry","6/4/19 10:00","run19060401","6/4/19",2,"gc180508",9,19060401,NA,1.452,2.194,273.92508,22.27916,5217.3299328271,5641.58492842754,215.309085713435,232.817266408956
"10_19060401",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","control",NA,"methSlurry","6/4/19 10:00","run19060401","6/4/19",3,"gc180508",10,19060401,NA,1.452,2.194,272.15573,21.61625,5183.62990537197,5473.72119097496,213.918350951919,225.88985558758
"11_19060401",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","algal",NA,"methSlurry","6/4/19 10:00","run19060401","6/4/19",1,"gc180508",11,19060401,NA,1.452,2.193,280.71909,23.92395,5346.73243856672,6058.08278895856,220.649276109393,250.005325187509
"12_19060401",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","algal",NA,"methSlurry","6/4/19 10:00","run19060401","6/4/19",2,"gc180508",12,19060401,NA,1.452,2.193,245.70961,38.63181,4679.9223460527,9782.44408917913,193.131317074379,403.702491504625
"13_19060401",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","algal",NA,"methSlurry","6/4/19 10:00","run19060401","6/4/19",3,"gc180508",13,19060401,NA,1.451,2.192,362.97296,33.66768,6913.38554693441,8525.41460553814,285.302010886696,351.827323109645
"14_19060401",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","BES",NA,"methSlurry","6/4/19 10:00","run19060401","6/4/19",1,"gc180508",14,19060401,NA,1.451,2.193,203.6701,21.85423,3879.21437917217,5533.98308510684,160.087652500325,228.376747061945
"15_19060401",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","BES",NA,"methSlurry","6/4/19 10:00","run19060401","6/4/19",2,"gc180508",15,19060401,NA,1.451,2.192,287.63641,26.22473,5478.48357537735,6640.692087138,226.086389953759,274.048480773644
"16_19060401",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","BES",NA,"methSlurry","6/4/19 10:00","run19060401","6/4/19",3,"gc180508",16,19060401,NA,1.451,2.192,214.14371,22.70409,4078.70059984885,5749.18677174823,168.320061862838,237.257785755967
