"runName","projectID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","subsampleClass","subsampleDateTime","runID","runDate","replicate","metadataID","prefix","suffix","comments","FID_RT","TCD_RT","CH4area","CO2area","CH4ppm","CO2ppm","CH4original_umolL","CO2original_umolL"
"1_19052201",34,NA,NA,"5/22/19","5/22/19 0:00",NA,NA,NA,"air","5/22/19 0:00","run19052201","5/22/19",1,"gc180508",1,19052201,NA,1.463,2.198,1.04536,2.11419,23.8485225213696,644.765693896082,0.984182262920447,26.6082294659349
"2_19052201",34,NA,NA,"5/22/19","5/22/19 0:00",NA,NA,NA,"standard034","5/22/19 0:00","run19052201","5/22/19",1,"gc180508",2,19052201,NA,1.463,2.198,1.35864,1.73628,30.9955963863488,529.514272131592,0,0
"3_19052201",34,NA,NA,"5/22/19","5/22/19 0:00",NA,NA,NA,"standard035","5/22/19 0:00","run19052201","5/22/19",1,"gc180508",3,19052201,NA,1.46,2.198,2.02149,4.23013,46.1176530494026,1290.06508626029,0,0
"4_19052201",34,NA,NA,"5/22/19","5/22/19 0:00",NA,NA,NA,"standard036","5/22/19 0:00","run19052201","5/22/19",1,"gc180508",4,19052201,NA,1.454,2.195,26.22011,17.39993,598.177550171987,5306.46627795669,0,0
"5_19052201",34,NA,NA,"5/22/19","5/22/19 0:00",NA,NA,NA,"standard037","5/22/19 0:00","run19052201","5/22/19",1,"gc180508",5,19052201,NA,1.453,2.194,147.00121,29.08386,3353.64053278639,8869.72087375142,0,0
"6_19052201",34,NA,NA,"5/22/19","5/22/19 0:00",NA,NA,NA,"standard038","5/22/19 0:00","run19052201","5/22/19",1,"gc180508",6,19052201,NA,1.452,2.192,2254.63135,50.66613,47657.6258552622,16055.3791385167,0,0
"7_19052201",34,NA,NA,"5/22/19","5/22/19 0:00",NA,NA,NA,"air","5/22/19 0:00","run19052201","5/22/19",2,"gc180508",7,19052201,NA,1.461,2.196,1.53016,1.83079,34.9086010764703,558.337039115694,1.44061025046907,23.0414865380779
"8_19052201",34,"PE","DeepHole","5/22/19","5/22/19 9:10","atm",NA,NA,"atm","5/22/19 9:10","run19052201","5/22/19",1,"gc180508",8,19052201,NA,1.46,2.195,1.81743,1.78773,41.4622907763955,545.205007094369,1.71106831149031,22.4995530501685
"9_19052201",34,"PE","DeepHole","5/22/19","5/22/19 9:10","atm",NA,NA,"atm","5/22/19 9:10","run19052201","5/22/19",2,"gc180508",9,19052201,NA,1.459,2.194,1.12029,2.14549,25.5579525670249,654.31127221163,1.05472712493987,27.0021569664357
"10_19052201",34,"PA","DeepHole","5/22/19","5/22/19 9:10","atm",NA,NA,"atm","5/22/19 9:10","run19052201","5/22/19",1,"gc180508",10,19052201,NA,1.459,2.194,1.59936,2.19302,36.4873086590052,668.806522605814,1.50576045001191,27.6003478322121
