"runName","projectID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","subsampleClass","subsampleDateTime","runID","runDate","replicate","metadataID","prefix","suffix","comments","FID_RT","TCD_RT","CH4area","CO2area","CH4ppm","CO2ppm","CH4original_umolL","CO2original_umolL"
"1_19051501",34,NA,NA,"2019-05-15","2019-05-15 00:00",NA,NA,NA,"air","2019-05-15 00:00","run19051501","2019-05-15",1,"gc180508",1,19051501,NA,1.459,2.192,1.03747,3.39539,17.0747664315242,772.429974828966,0.704642488873582,31.8766866959394
"2_19051501",34,NA,NA,"2019-05-15","2019-05-15 00:00",NA,NA,NA,"standard034","2019-05-15 00:00","run19051501","2019-05-15",1,"gc180508",2,19051501,NA,1.453,2.191,3.93623,1.72088,64.7827964864126,391.489429810322,0,0
"3_19051501",34,NA,NA,"2019-05-15","2019-05-15 00:00",NA,NA,NA,"standard035","2019-05-15 00:00","run19051501","2019-05-15",1,"gc180508",3,19051501,NA,1.454,2.19,2.13332,5.24777,35.1103556957784,1193.83483164179,0,0
"4_19051501",34,NA,NA,"2019-05-15","2019-05-15 00:00",NA,NA,NA,"standard036","2019-05-15 00:00","run19051501","2019-05-15",1,"gc180508",4,19051501,NA,1.452,2.189,32.3068,21.93491,531.707966639966,4990.05474457297,0,0
"5_19051501",34,NA,NA,"2019-05-15","2019-05-15 00:00",NA,NA,NA,"standard037","2019-05-15 00:00","run19051501","2019-05-15",1,"gc180508",5,19051501,NA,1.451,2.187,194.87621,38.59669,3207.28866262221,8780.50541622064,0,0
"6_19051501",34,NA,NA,"2019-05-15","2019-05-15 00:00",NA,NA,NA,"standard038","2019-05-15 00:00","run19051501","2019-05-15",1,"gc180508",6,19051501,NA,1.45,2.185,2984.85962,66.36337,47850.6738401474,15952.247779449,0,0
"7_19051501",34,NA,NA,"2019-05-15","2019-05-15 00:00",NA,NA,NA,"air","2019-05-15 00:00","run19051501","2019-05-15",2,"gc180508",7,19051501,NA,1.459,2.19,1.34685,2.33721,22.1665678702019,531.700647486741,0.914771257134552,21.9422543250162
"8_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",0,0,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",1,"gc180508",8,19051501,NA,1.452,2.189,3.82236,4.34087,62.9087146782084,987.520757508213,0.951950494437139,47.0912171159675
"9_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",0,0,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",2,"gc180508",9,19051501,NA,1.452,2.189,4.16247,4.21458,68.506272979678,958.790572898743,1.03665415465308,45.721180738565
"10_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",3.5,3.5,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",1,"gc180508",10,19051501,NA,1.452,2.188,2.94276,4.68068,48.4321856670864,1064.82540579505,0.732888016045018,50.7775902366039
"11_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",3.5,3.5,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",2,"gc180508",11,19051501,NA,1.452,2.188,2.91167,3.62854,47.9205038947401,825.470140651264,0.725145118758512,39.3636217979283
"12_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",5,5,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",1,"gc180508",12,19051501,NA,1.453,2.188,1.96739,2.04738,32.3794661336871,465.766136398272,0.48997422619813,22.210666548155
"13_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",5,5,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",2,"gc180508",13,19051501,NA,1.454,2.187,1.53641,2.03459,25.2863619122077,462.856491444949,0.382639588934105,22.0719163282882
"14_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",6,6,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",1,"gc180508",14,19051501,NA,1.455,2.188,1.35155,9.13045,22.2439208560503,2077.12023174867,0.336600605583073,99.0501911636344
"15_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",6,6,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",2,"gc180508",15,19051501,NA,1.456,2.188,1.18501,7.17503,19.5029918638809,1632.27441981542,0.29512417862602,77.8371376114881
"16_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",8,8,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",1,"gc180508",16,19051501,NA,1.456,2.188,1.1072,7.35577,18.2223884960371,1673.3916386476,0.275745766343516,79.7978658944222
"17_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",8,8,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",2,"gc180508",17,19051501,NA,1.451,2.187,14.67888,20.54823,241.58621210866,4674.59372315987,3.65574332971866,222.914107144153
"18_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",9,9,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",1,"gc180508",18,19051501,NA,1.45,2.185,248.73457,38.25054,4093.69397302631,8701.75845761293,61.9468069190524,414.954717359193
"19_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",9,9,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",2,"gc180508",19,19051501,NA,1.45,2.186,211.58736,33.7079,3482.3221412309,7668.33628788955,52.6953745771327,365.674631450221
"20_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",10,10,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",1,"gc180508",20,19051501,NA,1.45,2.185,349.40631,34.08492,5750.557734634,7754.10597829625,87.0188861237446,369.764671160478
"21_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",10,10,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",2,"gc180508",21,19051501,NA,1.45,2.185,392.08096,38.12909,6452.90062772686,8674.12934271214,97.6469154478877,413.637186928949
"22_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",11.5,11.5,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",1,"gc180508",22,19051501,NA,1.45,2.185,433.08047,39.01584,7127.67392917841,8875.85941795521,107.857754776517,423.256949045203
"23_19051501",34,"PA","DeepHole","2019-05-15","2019-05-15 09:15","point",11.5,11.5,"pCO2","2019-05-15 09:15","run19051501","2019-05-15",2,"gc180508",23,19051501,NA,1.45,2.185,482.37198,43.07371,7938.91764736509,9798.99944662916,120.133698778666,467.278087019474
