"runName","projectID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","subsampleClass","subsampleDateTime","runID","runDate","replicate","metadataID","prefix","suffix","comments","FID_RT","TCD_RT","CH4area","CO2area","CH4ppm","CO2ppm","CH4original_umolL","CO2original_umolL"
"1_19052301",15,NA,NA,"5/23/19","5/23/19 0:00",NA,NA,NA,"air","5/23/19 0:00","run19052301","5/23/19",1,"gc180508",1,19052301,NA,1.459,2.192,1.23726,2.45925,23.969452219403,644.226393726062,0.98917279697798,26.5859735940565
"2_19052301",15,NA,NA,"5/23/19","5/23/19 0:00",NA,NA,NA,"standard034","5/23/19 0:00","run19052301","5/23/19",1,"gc180508",2,19052301,NA,1.453,2.191,3.85885,1.42368,74.7575454608111,372.947944381385,0,0
"3_19052301",15,NA,NA,"5/23/19","5/23/19 0:00",NA,NA,NA,"standard035","5/23/19 0:00","run19052301","5/23/19",1,"gc180508",3,19052301,NA,1.454,2.191,1.82185,3.95347,35.2947210173442,1035.65303275559,0,0
"4_19052301",15,NA,NA,"5/23/19","5/23/19 0:00",NA,NA,NA,"standard036","5/23/19 0:00","run19052301","5/23/19",1,"gc180508",4,19052301,NA,1.45,2.19,26.61283,17.79399,515.570661872277,4661.32276413444,0,0
"5_19052301",15,NA,NA,"5/23/19","5/23/19 0:00",NA,NA,NA,"standard037","5/23/19 0:00","run19052301","5/23/19",1,"gc180508",5,19052301,NA,1.45,2.189,167.61354,32.46402,3247.17903945411,8504.29136137065,0,0
"6_19052301",15,NA,NA,"5/23/19","5/23/19 0:00",NA,NA,NA,"standard038","5/23/19 0:00","run19052301","5/23/19",1,"gc180508",6,19052301,NA,1.449,2.187,2269.65088,50.53188,43432.4865260638,14369.0348279958,0,0
"7_19052301",15,NA,NA,"5/23/19","5/23/19 0:00",NA,NA,NA,"air","5/23/19 0:00","run19052301","5/23/19",2,"gc180508",7,19052301,NA,1.457,2.191,1.08688,2.04846,21.0561387487066,536.615634234864,0.868946001308882,22.1450862939843
"8_19052301",15,"MO","DeepHole","5/23/19","5/23/19 9:50","atm",NA,NA,"atm","5/23/19 9:50","run19052301","5/23/19",1,"gc180508",8,19052301,NA,1.457,2.192,1.24749,1.93641,24.1676381271382,507.262958656129,0.997351544947756,20.9337583113823
"9_19052301",15,"MO","DeepHole","5/23/19","5/23/19 9:50","atm",NA,NA,"atm","5/23/19 9:50","run19052301","5/23/19",2,"gc180508",9,19052301,NA,1.456,2.191,1.49604,2.08117,28.9828001376555,545.184362643436,1.19606394063571,22.4987010937247
"10_19052301",15,"MO","DeepHole","5/23/19","5/23/19 9:50","point",0.25,0.25,"pCO2","5/23/19 9:50","run19052301","5/23/19",1,"gc180508",10,19052301,NA,1.453,2.19,3.15904,4.96378,61.2001182768236,1300.31435952,0.92609558391462,62.0071885655094
