"runName","projectID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","subsampleClass","subsampleDateTime","runID","runDate","replicate","metadataID","prefix","suffix","comments","FID_RT","TCD_RT","CH4area","CO2area","CH4ppm","CO2ppm","CH4original_umolL","CO2original_umolL"
"1_19053101",33,NA,NA,"2019-05-31","2019-05-31 00:00",NA,NA,NA,"air","2019-05-31 00:00","run19053101","2019-05-31",1,"gc180508",1,19053101,NA,1.459,2.193,0.957268,2.45226,16.9379253144318,573.372538343307,0.698995321416566,23.6619724252313
"2_19053101",33,NA,NA,"2019-05-31","2019-05-31 00:00",NA,NA,NA,"standard034","2019-05-31 00:00","run19053101","2019-05-31",1,"gc180508",2,19053101,NA,1.454,2.199,3.83585,1.10765,67.8716313690242,258.983995210934,0,0
"3_19053101",33,NA,NA,"2019-05-31","2019-05-31 00:00",NA,NA,NA,"standard035","2019-05-31 00:00","run19053101","2019-05-31",1,"gc180508",3,19053101,NA,1.455,2.192,2.05192,4.19936,36.3067267590568,981.868848579413,0,0
"4_19053101",33,NA,NA,"2019-05-31","2019-05-31 00:00",NA,NA,NA,"standard036","2019-05-31 00:00","run19053101","2019-05-31",1,"gc180508",4,19053101,NA,1.451,2.192,27.74967,19.15337,491.003395036842,4478.32463716268,0,0
"5_19053101",33,NA,NA,"2019-05-31","2019-05-31 00:00",NA,NA,NA,"standard037","2019-05-31 00:00","run19053101","2019-05-31",1,"gc180508",5,19053101,NA,1.451,2.191,144.90436,28.65569,2563.94157896799,6700.09938313186,0,0
"6_19053101",33,NA,NA,"2019-05-31","2019-05-31 00:00",NA,NA,NA,"standard038","2019-05-31 00:00","run19053101","2019-05-31",1,"gc180508",6,19053101,NA,1.45,2.19,1965.62134,45.18332,35237.4127870029,10564.4894420567,0,0
"7_19053101",33,NA,NA,"2019-05-31","2019-05-31 00:00",NA,NA,NA,"air","2019-05-31 00:00","run19053101","2019-05-31",2,"gc180508",7,19053101,NA,1.459,2.193,1.21124,2.31279,21.4317126007057,540.762510074388,0.88444520564001,22.3162198157417
"8_19053101",33,"CB","DeepHole","2019-05-31","2019-05-31 10:45","atm",NA,NA,"atm","2019-05-31 10:45","run19053101","2019-05-31",1,"gc180508",8,19053101,NA,1.457,2.19,0.991016,1.71207,17.5350633191613,400.305808405889,0.723638048539133,16.5198441968086
"9_19053101",33,"CB","DeepHole","2019-05-31","2019-05-31 10:45","atm",NA,NA,"atm","2019-05-31 10:45","run19053101","2019-05-31",2,"gc180508",9,19053101,NA,1.456,2.193,1.47235,2.48995,26.0517998477998,582.184985216868,1.07510724424893,24.025645013255
"10_19053101",33,"CB","DeepHole","2019-05-31","2019-05-31 10:45","point",0.25,0.25,"pCO2","2019-05-31 10:45","run19053101","2019-05-31",1,"gc180508",10,19053101,NA,1.452,2.192,1.77904,3.40427,31.4783808206131,795.965734100777,0.476338776583579,37.9566656360622
